Job ID,Job Title,URL,Job Description,Job Function,Job Role,Desired Skills,Qualifications,Experience,Apply By,Location,Country
209130,Designer and Technology Expert in Digital Domain,https://ibegin.tcs.com/iBegin/jobs/209130J,"Must have Skills: Maven, Jenkins",TECHNOLOGY,Developer,Maven,BACHELOR OF COMPUTER APPLICATION,4 - 10 Years,30-Oct-21,Bangalore,India
209128,Cloud Security,https://ibegin.tcs.com/iBegin/jobs/209128J,"1. Must have one cloud security certification such as AWS Security Specialty, Azure AZ-500, SC-200, SC-300, SC-400, GCP Professional Cloud Security Engineer, GIAC, etc. 2. Cloud Security Architecture experience with Azure, AWS, or GCP 3. Must have hands-on experience in the area of cloud-native security services in Azure/AWS/GCP (Azure Security Center, Azure Sentinel, Azure AIP, IAM, KMS, VPC, Security Groups, AWS Inspector, AWS Guard Duty, GCP Security Command Center, etc.) 4. Hands-on knowledge of implementing and configuring at least one CWPP/CASB/CSPM tool such as Zscaler, Microsoft Cloud App Security, Trend Micro Cloud Conformity, Check Point CloudGuard (formerly Dome9), Radware Cloud-Native Protector, etc. 5. Knowledge of industry standards and compliance frameworks such as CIS, NIST, PCI, HIPAA, ISO 27001/27002, etc. Desired Certifications: In addition to the leading cloud platforms security certification, desired for the candidate to have one or multiple of the following advanced security certifications from accredited bodies for this role: 1. Certified Cloud Security Professional (CCSP) 2. Certified Information Systems Security Professional (CISSP) 3. CompTIA Advanced Security Practitioner (CASP+) 4. Certified Information Security Manager (CISM)",TECHNOLOGY,Consultant,AWS | Azure | GCP - IT Service Management Consulting,BACHELOR OF TECHNOLOGY,8 - 14 Years,31-Dec-21,NCR,India
209127,Cloud DevOps Developer,https://ibegin.tcs.com/iBegin/jobs/209127J,"1. Azure DevOps Engineer Expert (AZ 400) / AWS DevOps Engineer Professional / Google Professional Cloud DevOps Engineer 2. Hands-on DevOps tools and ecosystem tools experience 3. Design and Create application code deploy pipelines 4. Design and Create Infrastructure as a Code pipelines 5. Design and Create modules scripts to setup and configure software 6. Hands-on experience with one or more object-oriented programming languages (Java, Go, Python, JavaScript) 7. Hands-on experience with CI/CD tools (Concourse CI, Bamboo, Jenkins, Spinnaker, XLRelease) 8. Hands-on experience with SCM tools (Git, Subversion) 9. 5 to 7 Years of technology experience in an enterprise or web scale product company 10. 5 to 7 Years of Development, Configuration Management, Implementation and support of cloud technologies and platforms 11. Excellent communication skills.",TECHNOLOGY,Consultant,AWS | Azure | GCP - IT Service Management Consulting,BACHELOR OF TECHNOLOGY,6 - 10 Years,31-Dec-21,NCR,India
209122,Cloud Application Architect,https://ibegin.tcs.com/iBegin/jobs/209122J,"1. AWS Certified Solutions Architect Professional/ AWS Certified DevOps Engineer Professional / Azure Solution Architect Expert AZ -304/ Azure DevOps Engineer Expert AZ-400/ Google Certified Solution Architect - Professional / Certification: GCP Certified Professional Cloud DevOps Engineer 2. Hands-on proficiency with any/multiple of the following: AWS/Azure cloud-native applications, AWS / Azure /GCP Kubernetes services, API Gateway, AWS Lambda/ Azure Functions / Google Cloud Functions/ App Engine/ Cloud Run, SQS/Cloud Pub/Sub/ASQ, DynamoDB/ Cosmos DB/ Cloud Datastore, Redshift/ Big Query/ Azure Synapse, and Cloud-Native Databases 3. Experience of working in development teams driven by Agile Methodologies 4. 2+ years of hands-on experience in using PaaS platforms. 5. Expert in at least 2 of the programming languages - Java, JavaScript, .Net, Python, Nodejs, C# 6. Expertise in any one of the front-end development languages Angular, React js 7. Minimum of 10 years of hands-on experience in the development (not infrastructure) of the applications (Any language is acceptable)",TECHNOLOGY,Consultant,AWS | Azure | GCP - IT Service Management Consulting,BACHELOR OF TECHNOLOGY,8 - 14 Years,31-Dec-21,NCR,India
209125,PL-SQL Developer,https://ibegin.tcs.com/iBegin/jobs/209125J,"Location:- Nagpur Exp:- 2 to 7 yrs Must-Have** Good Hands on experience in Oracle SQL, PLSQL Strong experience with oracle functions, procedures, triggers, packages & query tuning Good-to-Have 1. Hands on experience on Performance Tuning 2. Hands on experience on SSIS 3.&n bsp; Hands on DBA 4. Certification in Oracle SQL & PLSQL 5. SQL Server 2012/2016 Responsibility of / Expectations from the Role Independently design, develop and test new functionality or supporting existing applications Find solutions for issues, debugging related to configuration, code setup, identity issues and error handling. Coordinate with development /Integration/QA team to solve the issues. Interaction with the people of the client side to solve problems and update the situation.",TECHNOLOGY,Developer,ORACLE SQL | PLSQL,BACHELOR OF ENGINEERING,2 - 7 Years,31-Dec-21,Nagpur,India
209121,Test Analyst,https://ibegin.tcs.com/iBegin/jobs/209121J,"Location:- Nagpur Exp:- 2 to 7 yrs Must-Have** Automation Testing- Should have good experience in automation testing using different tools like Selenium, Jmeter (Performance testing), Loadrunner (Load testing) etc Good-to-Have Certification in automation testing Responsibility of / Expectations from the Role Selection or identification of test cases for automation from existing test case documentation. Applying Designing and Test Automation Strategy Document Creating an automation test plan and getting approval. Configure Selenium Test Environment for setup(ex:Java,Selenium WebDriverandTestNGetc.). Participation in Selenium Environmental Setup with IDE. Automation framework design and implementation according to project structure. Creating, Enhancing, Debugging and Running Test Cases. Organizing, monitoring defect management process Handling changes and conducting regression tests. Find solutions for issues related to object identity issues and error handling. Coordination of the members of the Test team and the development team to solve the issues. Interaction with the people of the client side to solve problems and update the situation.",TECHNOLOGY,Analyst,Automation Testing | JMETER | Load Runner | Selenium,BACHELOR OF ENGINEERING,2 - 7 Years,31-Dec-21,Nagpur,India
209120,Dot Net Developer,https://ibegin.tcs.com/iBegin/jobs/209120J,"Location:- Nagpur Exp:- 2 to 10 yrs Must-Have** Hands on experience on ASP/C# .Net Good-to-Have 1. Hands on experience on Azure 2. Hands on experience on DevOps 3. Hands on experience on AngularJS 4. Full Stack .Net Responsibility of / Expectations from the Role 1. Independently design, develop and test new functionality or supporting existing applications 2. Find solutions for issues, debugging related to configuration, code setup, identity issues and error handling. 3. Coordinate with development /Integration/QA team to solve the issues. 4. Interaction with the people of the client side to solve problems and update the situation.",TECHNOLOGY,Developer,.NET | ASP.NET | VB.NET,BACHELOR OF ENGINEERING,2 - 10 Years,31-Dec-21,Nagpur,India
209119,Java Developer,https://ibegin.tcs.com/iBegin/jobs/209119J,"Location:- Nagpur Exp:- 2 to 10 yrs Must-Have** Hands on experience on Java EE Good-to-Have 1. Hands on experience on Spring Boot 2. Hands on experience on MicroServices 3. Hands on experience on Struts 4. Hands on experience on AngularJS Responsibility of / Expectations from the Role 1. Independently design, develop and test new functionality or supporting existing applications 2. Find solutions for issues, debugging related to configuration, code setup, identity issues and error handling. 3. Coordinate with development /Integration/QA team to solve the issues. 4. Interaction with the people of the client side to solve problems and update the situation.",TECHNOLOGY,Developer,J2EE | Java | Microservices | Core JAVA,BACHELOR OF ENGINEERING,2 - 10 Years,31-Dec-21,Nagpur,India
209118,Talend DQ,https://ibegin.tcs.com/iBegin/jobs/209118J,"Work with the team to understand the requirements and come up with the relevant test cases & defect metrics Perform data validity, accuracy and integrity test across different components of the Data Platform and correct code problems Communicate the data quality results and collaborating closely with other teams involved in the development process Analyze, troubleshoot, and document problems/observations, and working with the project teams to identify the root causes and resolutions Build automated test framework and tools to automate the Data Platform services and applications Familiar with database design and implementation Familiar with Data Quality Tools such as Talend Data Quality (DQ)",TECHNOLOGY,Developer,Data Quality management | Talend Open Studio,BACHELOR OF ENGINEERING,5 - 14 Years,30-Nov-21,Mumbai,India
209087,STIBO(STEP) Engineer,https://ibegin.tcs.com/iBegin/jobs/209087J,"Role: STIBO(STEP) Engineer Required technical Skillset: A minimum of 7+ years of experience in the Master Data Management domain At least 3 years / 2 cycles of end-to-end development experience in Stibo (STEP) for PMDM and CMDM module Solid understanding of master data concepts, processes, and tools including data modeling, data profiling, data quality assessment, data integration and data governance. Strong understanding of Java, JavaScript, XML, XSD, and JSON Strong understanding of pattern matching and regular expressions Experience Range: 4- 9 yrs Location: Pan India Must Have: A minimum of 7+ years of experience in the Master Data Management domain At least 3 years / 2 cycles of end-to-end development experience in Stibo (STEP) for PMDM and CMDM module Solid understanding of master data concepts, processes, and tools including data modeling, data profiling, data quality assessment, data integration and data governance. Strong understanding of Java, JavaScript, XML, XSD, and JSON Strong understanding of pattern matching and regular expressions Good to Have: Hands-on experience with SOAP and/or RESTful web services Roles & Responsibilities: A minimum of 3+ years of experience in the Master Data Management domain At least 3 years / 2 cycles of end-to-end development experience in Stibo (STEP) for PMDM and CMDM module Solid understanding of master data concepts, processes, and tools including data modeling, data profiling, data quality assessment, data integration and data governance. Strong understanding of Java, JavaScript, XML, XSD, and JSON",TECHNOLOGY,Engineer,STIBO Master Data Management,BACHELOR OF TECHNOLOGY,4 - 9 Years,10-Dec-21,Kolkata,India
